device_id,UTC_datetime,UTC_date,UTC_time,datatype,satcount,U_bat_mV,bat_soc_pct,solar_I_mA,hdop,Latitude,Longitude,Altitude_m,speed_km_h,direction_deg,temperature_C,mag_x,mag_y,mag_z,acc_x,acc_y,acc_z,
193836,2026-03-06 08:01:44,2026-03-06,08:01:44,GPS,10,4091,90,0,1.0,39.238166999999997,-1.526700000000000,716,0,155,30,-395,-315,222,-18,-751,661,
193836,2026-03-06 08:16:17,2026-03-06,08:16:17,GPS,10,4089,90,0,0.9,39.238177999999998,-1.526712000000000,674,0,167,30,-339,-485,248,29,-882,442,
193836,2026-03-06 08:31:17,2026-03-06,08:31:17,GPS,8,4089,90,0,1.0,39.238284999999998,-1.526737000000000,672,0,223,31,-318,-532,201,27,-871,456,
193836,2026-03-06 08:46:43,2026-03-06,08:46:43,GPS,8,4089,90,0,1.2,39.238312000000001,-1.526600000000000,688,0,160,32,-329,-534,250,32,-905,362,
193836,2026-03-06 09:01:19,2026-03-06,09:01:19,GPS,8,4086,89,0,1.3,39.238194000000000,-1.526673000000000,687,0,162,31,-327,-526,260,19,-921,334,
193836,2026-03-06 09:16:18,2026-03-06,09:16:18,GPS,8,4086,89,0,1.0,39.238200999999997,-1.526702000000000,699,1,11,31,-333,-532,286,36,-930,303,
193836,2026-03-06 09:31:25,2026-03-06,09:31:25,GPS,6,4086,89,0,1.0,39.238337999999999,-1.526703000000000,680,1,5,31,-335,-533,274,35,-929,308,
193836,2026-03-06 09:46:25,2026-03-06,09:46:25,GPS,6,4086,89,0,1.0,39.238308000000004,-1.526918000000000,642,1,18,29,157,-458,-105,-35,-455,909,
193836,2026-03-06 10:01:33,2026-03-06,10:01:33,GPS,6,4086,89,0,1.0,39.239364999999999,-1.526883000000000,652,0,16,28,296,-403,-109,-79,-289,957,
193836,2026-03-06 10:16:25,2026-03-06,10:16:25,GPS,6,4086,89,1,1.2,39.242297999999998,-1.527510000000000,676,30,343,29,388,-401,-72,-96,-36,315,
193836,2026-03-06 10:31:25,2026-03-06,10:31:25,GPS,7,4094,91,2,1.0,39.226371999999998,-1.523693000000000,738,22,317,22,327,-386,-128,-12,-40,1170,
193836,2026-03-06 10:46:40,2026-03-06,10:46:40,GPS,7,4097,91,1,1.1,39.227943000000003,-1.552535000000000,702,26,76,23,1,-225,-179,-38,-25,1168,
193836,2026-03-06 11:01:37,2026-03-06,11:01:37,GPS,6,4103,92,3,1.9,39.255980999999998,-1.566208000000000,702,36,303,23,204,-476,-118,-137,-16,1165,
193836,2026-03-06 11:16:29,2026-03-06,11:16:29,GPS,6,4100,92,0,1.7,39.264885000000000,-1.572385000000000,633,2,17,27,-359,-140,283,-42,-713,692,
193836,2026-03-06 11:31:26,2026-03-06,11:31:26,GPS,6,4094,91,0,1.5,39.264964999999997,-1.572415000000000,702,0,91,30,494,-447,-9,283,34,1001,
193836,2026-03-06 11:46:35,2026-03-06,11:46:35,GPS,6,4094,91,0,1.4,39.264977000000002,-1.571922000000000,747,1,265,31,456,-313,-56,-211,-84,901,
193836,2026-03-06 12:01:24,2026-03-06,12:01:24,GPS,8,4094,91,0,0.9,39.270744000000001,-1.559283000000000,836,29,59,24,146,-13,-118,-173,-131,472,
193836,2026-03-06 12:16:19,2026-03-06,12:16:19,GPS,8,4094,91,0,0.9,39.266392000000003,-1.573012000000000,665,0,335,23,204,-154,-173,-31,-427,914,
193836,2026-03-06 12:31:25,2026-03-06,12:31:25,GPS,6,4094,91,0,1.1,39.265064000000002,-1.572508000000000,675,0,344,27,-2,9,-46,-152,-751,699,
193836,2026-03-06 12:46:27,2026-03-06,12:46:27,GPS,8,4091,90,0,0.9,39.264904000000001,-1.572590000000000,665,0,170,28,-21,-417,-93,-88,-731,663,
193836,2026-03-06 13:01:28,2026-03-06,13:01:28,GPS,7,4091,90,0,0.9,39.264961000000000,-1.572638000000000,667,0,132,28,157,-20,-84,278,-122,942,
193836,2026-03-06 13:16:36,2026-03-06,13:16:36,GPS,7,4097,91,0,1.0,39.265025999999999,-1.572727000000000,627,0,96,27,197,33,-74,-77,-407,970,
193836,2026-03-06 13:31:22,2026-03-06,13:31:22,GPS,7,4094,91,2,1.0,39.263480999999999,-1.573873000000000,636,29,119,28,-96,6,-2,-104,-411,1736,
193836,2026-03-06 13:46:33,2026-03-06,13:46:33,GPS,8,4097,91,0,0.9,39.265442000000000,-1.572542000000000,575,14,22,27,-127,-29,-8,-67,-252,332,
